Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Mining","0.00000588000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-17T00:01:00", "BTC20211217000100_Commission"
"Mining","6.48879097000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-17T00:01:00", "DFI20211217000100_Rewards"
"Mining","0.12127276000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-17T00:01:00", "DFI20211217000100_Commission"
"Trade","1.603029015","BTC-DFI","350.02715912999997","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-16T15:59:13", "1BTC-DFI20211216155913"
"Trade","1.603029015","BTC-DFI","0.02937652000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-16T15:59:13", "1BTC-DFI20211216155913"
"Withdrawal","","","0.23448241000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:59:13", "DFI20211216155913_sent"
"Deposit","0.23448008000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:59:13", "DFI20211216155913_receive"
"Withdrawal","","","100.00000000000000","DFI","","","DeFiChain Light Wallet - Vault","WithdrawFromVault - Withdraw from Vault Wallet","WithdrawFromVault","2021-12-16T15:57:07", "1_DFI20211216155707"
"Deposit","100.00000000000000","DFI","","","","","DeFiChain Light Wallet","WithdrawFromVault - Deposit to DeFiChain Wallet","WithdrawFromVault","2021-12-16T15:57:07", "2_DFI20211216155707"
"Withdrawal","","","0.23448463000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:57:07", "DFI20211216155707_sent"
"Deposit","0.23448241000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:57:07", "DFI20211216155707_receive"
"Withdrawal","","","250.00000000000000","DFI","","","DeFiChain Light Wallet - Vault","WithdrawFromVault - Withdraw from Vault Wallet","WithdrawFromVault","2021-12-16T15:54:36", "1_DFI20211216155436"
"Deposit","250.00000000000000","DFI","","","","","DeFiChain Light Wallet","WithdrawFromVault - Deposit to DeFiChain Wallet","WithdrawFromVault","2021-12-16T15:54:36", "2_DFI20211216155436"
"Withdrawal","","","0.23448685000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:54:36", "DFI20211216155436_sent"
"Deposit","0.23448463000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:54:36", "DFI20211216155436_receive"
"Trade","1.054541015","BTC-DFI","0.01932522000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-16T15:52:27", "1BTC-DFI20211216155227"
"Trade","1.054541015","BTC-DFI","230.26176419999999","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-16T15:52:27", "1BTC-DFI20211216155227"
"Withdrawal","","","0.23448918000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:52:27", "DFI20211216155227_sent"
"Deposit","0.23448685000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:52:27", "DFI20211216155227_receive"
"Withdrawal","","","230.00000000000000","DFI","","","DeFiChain Light Wallet - Vault","WithdrawFromVault - Withdraw from Vault Wallet","WithdrawFromVault","2021-12-16T15:50:18", "1_DFI20211216155018"
"Deposit","230.00000000000000","DFI","","","","","DeFiChain Light Wallet","WithdrawFromVault - Deposit to DeFiChain Wallet","WithdrawFromVault","2021-12-16T15:50:18", "2_DFI20211216155018"
"Withdrawal","","","0.23449140000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:50:18", "DFI20211216155018_sent"
"Deposit","0.23448918000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:50:18", "DFI20211216155018_receive"
"Withdrawal","","","20.37000000000000","DUSD","","","DeFiChain Light Wallet","PaybackLoan - Withdraw from DefiChain Wallet","PaybackLoan","2021-12-16T15:48:53", "DUSD20211216154853"
"Withdrawal","","","0.23449367000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:48:53", "DFI20211216154853_sent"
"Deposit","0.23449140000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:48:53", "DFI20211216154853_receive"
"Trade","20.37343159000000","DUSD","0.88446881000000","SLV","","","DeFiChain Light Wallet","DEX Trade","Poolswap","2021-12-16T15:44:39", "DUSDSLV20211216154439"
"Deposit","0.23449367000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:44:39", "DFI20211216154439_receive"
"Withdrawal","","","0.23449602000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:44:39", "DFI20211216154439_sent"
"Withdrawal","","","42.48707798000000","SLV","","","DeFiChain Light Wallet","PaybackLoan - Withdraw from DefiChain Wallet","PaybackLoan","2021-12-16T15:41:11", "SLV20211216154111"
"Deposit","0.23449602000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:41:11", "DFI20211216154111_receive"
"Withdrawal","","","0.23449829000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:41:11", "DFI20211216154111_sent"
"Trade","43.31704504000000","SLV","1000.00000000000000","DUSD","","","DeFiChain Light Wallet","DEX Trade","Poolswap","2021-12-16T15:39:42", "SLVDUSD20211216153942"
"Deposit","0.23449829000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:39:42", "DFI20211216153942_receive"
"Withdrawal","","","0.23450064000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:39:42", "DFI20211216153942_sent"
"Minting","1000.00000000000000","DUSD","","","","","DeFiChain Light Wallet","TakeLoan - Minted Token","TakeLoan","2021-12-16T15:38:32", "DUSD20211216153832"
"Deposit","0.23450064000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:38:32", "DFI20211216153832_receive"
"Withdrawal","","","0.23450291000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:38:32", "DFI20211216153832_sent"
"Withdrawal","","","97.59999999999999","SLV","","","DeFiChain Light Wallet","PaybackLoan - Withdraw from DefiChain Wallet","PaybackLoan","2021-12-16T15:35:44", "SLV20211216153544"
"Withdrawal","","","0.23450518000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:35:44", "DFI20211216153544_sent"
"Deposit","0.23450291000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:35:44", "DFI20211216153544_receive"
"Trade","97.65450174999999","SLV","2251.80331104000015","DUSD","","","DeFiChain Light Wallet","DEX Trade","Poolswap","2021-12-16T15:32:09", "SLVDUSD20211216153209"
"Deposit","0.23450518000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:32:09", "DFI20211216153209_receive"
"Withdrawal","","","0.23450753000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:32:09", "DFI20211216153209_sent"
"Minting","2000.00000000000000","DUSD","","","","","DeFiChain Light Wallet","TakeLoan - Minted Token","TakeLoan","2021-12-16T15:30:34", "DUSD20211216153034"
"Deposit","0.23450753000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:30:34", "DFI20211216153034_receive"
"Withdrawal","","","0.23450980000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:30:34", "DFI20211216153034_sent"
"Withdrawal","","","703.02756909000004","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-16T15:28:28", "1_DFI20211216152828"
"Deposit","703.02756909000004","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-16T15:28:28", "2_DFI20211216152828"
"Withdrawal","","","0.23451202000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:28:28", "DFI20211216152828_sent"
"Deposit","0.23450980000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:28:28", "DFI20211216152828_receive"
"Withdrawal","","","700.00000000000000","DFI","","","DeFiChain Light Wallet - Vault","WithdrawFromVault - Withdraw from Vault Wallet","WithdrawFromVault","2021-12-16T15:24:59", "1_DFI20211216152459"
"Deposit","700.00000000000000","DFI","","","","","DeFiChain Light Wallet","WithdrawFromVault - Deposit to DeFiChain Wallet","WithdrawFromVault","2021-12-16T15:24:59", "2_DFI20211216152459"
"Deposit","0.23451202000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-16T15:24:59", "DFI20211216152459_receive"
"Withdrawal","","","0.23451424000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-16T15:24:59", "DFI20211216152459_sent"
"Mining","0.00000224000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-16T00:01:00", "BTC20211216000100_Commission"
"Mining","4.50214859000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-16T00:01:00", "DFI20211216000100_Rewards"
"Mining","0.04453123000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-16T00:01:00", "DFI20211216000100_Commission"
"Withdrawal","","","746.00000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-15T16:55:10", "1_DFI20211215165510"
"Deposit","746.00000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-15T16:55:10", "2_DFI20211215165510"
"Withdrawal","","","0.23451646000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-15T16:55:10", "DFI20211215165510_sent"
"Deposit","0.23451424000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-15T16:55:10", "DFI20211215165510_receive"
"Trade","745.73032350000005","DFI","3.38578067","BTC-DFI","","","DeFiChain Light Wallet","Remove Liquidity","Trade 1 ","2021-12-15T16:51:26", "1BTC-DFI20211215165126"
"Trade","0.06151123000000","BTC","3.38578067","BTC-DFI","","","DeFiChain Light Wallet","Remove Liquidity","Trade 2 ","2021-12-15T16:51:26", "2BTC-DFI20211215165126"
"Deposit","0.23451646000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-15T16:51:26", "DFI20211215165126_receive"
